Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Snippers_upgraded,Deal [sword]2 damage|Split dice evenly in 2,1,givedice([(d+1)/2[;]d/2]); attack(2); sfx(~_lock~);,Magic Dice,MIN2,,GREEN,,,,,0,NO,NO,,,,,,,,,,,,,givedice([(d+1)/2[;]d/2]); 
Snippers_downgraded,Deal [sword]1 damage|Split dice evenly in 2,1,givedice([d/2[;]d/2]); attack(1); sfx(~_lock~);,Magic Dice,REQUIRE6,,GREEN,,,,,0,NO,NO,,,,,,,,,,,,,givedice([d/2[;]d/2]); 
Shatter,Split dice into 2s or less,2,if(simulation){bonus(500);}else{var s = d; var a = []; while(s>0){ if(s>2){ var r=rand([1[;]2]); a.push(r); s-=r; }else{ a.push(s); givedice(a|~splitdice~); s=0; break; } };};,Magic Dice,MIN3,,GREEN,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
Shatter_upgraded,Add 2 to dice value[;] then|split dice into 2s or less,2,if(simulation){bonus(500);}else{var s = d; var a = []; while(s>0){ if(s>2){ var r=rand([1[;]2]); a.push(r); s-=r; }else{ a.push(s); givedice(a|~splitdice~); s=0; break; } };};,Magic Dice,MIN3|FREE2,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Shatter_downgraded,Split dice into 2s or less,2,if(simulation){bonus(500);}else{var s = d; var a = []; while(s>0){ if(s>2){ var r=rand([1[;]2]); a.push(r); s-=r; }else{ a.push(s); givedice(a|~splitdice~); s=0; break; } };};,Magic Dice,MIN4,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Promote,Dice value +3,1,givedice(d+3);,Magic Dice,MAX3,,GREEN,change_power,change_power,,,0,YES,NO,,1,,,,,,,,,,,
Promote_upgraded,1-3: Dice value +3|4-6: Dice value -3,1,if(d>3){ givedice(d-3); }else{ givedice(d+3); };,Magic Dice,NORMAL,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Promote_downgraded,Dice value +3,1,givedice(d+3);,Magic Dice,REQUIRE1,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Demote,Dice value -3,1,givedice(d-3);,Magic Dice,MIN4,,GREEN,change_power,change_power,,,0,YES,NO,,1,,,,,,,,,,,
Demote_upgraded,1-3: Dice value +3|4-6: Dice value -3,1,if(d>3){ givedice(d-3); }else{ givedice(d+3); };,Magic Dice,NORMAL,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Demote_downgraded,Dice value -3,1,givedice(d-3);,Magic Dice,REQUIRE6,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Pee Shooter,Inflict [poison]1 poison|[gray](Reuseable),1,inflict(POISON[;]1); sfx(~_poison~);,Pee Gun,COUNTDOWN,5,PURPLE,change_poison,change_power,,,-1,NO,NO,,1,,,,,,,,,,,
Pee Shooter_upgraded,[poison]1 poison + [sword]1 dmg|[gray](Reuseable),1,inflict(POISON[;]1); sfx(~_poison~); attack(1); sfxdamage(target[;]1);,Pee Gun,COUNTDOWN,5,PURPLE,,,,,-1,NO,NO,,,,,,,,,,,,,
Pee Shooter_downgraded,Inflict [poison]1 poison,1,inflict(POISON[;]1); sfx(~_poison~);,Pee Gun,COUNTDOWN,5,PURPLE,,,,,0,NO,NO,,,,,,,,,,,,,
Cache Stash,Get a <d6> next turn|[gray](2 uses this turn),1,inflictself(~stash~+d); inflictself(~cache~); sfx(~magic_gaindice~);,Magic Dice,NORMAL,,GRAY,change_power,change_power,,,2,YES,NO,robotonly,1,,,,,,,,,,,
Cache Stash_upgraded,Get a <d6> next turn|Immune to errors|[gray](2 uses this turn),1,inflictself(~stash~+d); inflictself(~cache~); sfx(~magic_gaindice~);,Magic Dice,NORMAL,,GRAY,,,,,2,YES,NO,errorimmune|robotonly,,,,,,,,,,,,
Cache Stash_downgraded,Get a <d6> next turn,1,inflictself(~stash~+d); inflictself(~cache~); sfx(~magic_gaindice~);,Magic Dice,NORMAL,,GRAY,,,,,0,YES,NO,robotonly,,,,,,,,,,,,
Pockets,Get a <d6> next turn|[gray](2 uses this turn),1,inflictself(~stash~+d); inflictself(~cache~); sfx(~magic_gaindice~);,Magic Dice,NORMAL,,ORANGE,change_power,change_power,,,2,YES,NO,,1,,,,,,,,,,,
Pockets_upgraded,Get a <d6> next turn|[gray](Reusable),1,inflictself(~stash~+d); inflictself(~cache~); sfx(~magic_gaindice~);,Magic Dice,NORMAL,,ORANGE,,,,,-1,YES,NO,,,,,,,,,,,,,
Pockets_downgraded,Get a <d6> next turn,1,inflictself(~stash~+d); inflictself(~cache~); sfx(~magic_gaindice~);,Magic Dice,NORMAL,,ORANGE,,,,,0,YES,NO,,,,,,,,,,,,,
Overheat,Calculate again[;] do [fire]dmg|equal to number calculated,1,if(simulation){bonus(-9999999);}else if(self.usecpuinsteadofdice){robotroll(); var d = 0; for (mydice in self.dicepool){ if (mydice.available()){ d = mydice.basevalue; } }; attack(d[;]FIRE); sfx(~_fire~); sfxdamage(d);};,Blowtorch,COUNTDOWN,3,RED,change_power,change_power,,,0,NO,NO,robotonly,,,,,,,,,,,,robotroll(); 
Overheat_upgraded,Calculate again[;] do [fire]dmg|equal to number calculated|,1,if(simulation){bonus(-9999999);}else if(self.usecpuinsteadofdice){robotroll(); var d = 0; for (mydice in self.dicepool){ if (mydice.available()){ d = mydice.basevalue; } }; attack(d[;]FIRE); sfx(~_fire~); sfxdamage(d);};,Blowtorch,COUNTDOWN,3,RED,,,,,2,NO,NO,robotonly,,,,,,,,,,,,robotroll(); 
Overheat_downgraded,Calculate again[;] deal|[fire]1 damage,1,if(simulation){bonus(100);}else if(self.usecpuinsteadofdice){robotroll();}; attack(1[;]FIRE); sfx(~_fire~); sfxdamage(target|1);,Blowtorch,COUNTDOWN,3,RED,,,,,0,NO,NO,robotonly,,,,,,,,,,,,robotroll(); 
Underclock,[ice]Freeze yourself[;]|restore [heal]1 health,1,inflictself(ICE); attackself(-1); sfx(~_ice~); sfx(~_heal~),Refrigerator,MIN2,,BRIGHTCYAN,change_power,change_power,,,0,YES,NO,robotonly|excludefromrandomlists,,,,,,,,,,,,
Underclock_upgraded,[ice]Freeze self[;] heal [heal]1|[grey](Reusable),1,inflictself(ICE); attackself(-1); sfx(~_ice~); sfx(~_heal~),Refrigerator,MIN2,,BRIGHTCYAN,,,,,-1,YES,NO,robotonly|excludefromrandomlists,,,,,,,,,,,,
Underclock_downgraded,[ice]Freeze yourself,1,inflictself(ICE); sfx(~_ice~);,Refrigerator,MIN2,,BRIGHTCYAN,,,,,0,YES,NO,robotonly|excludefromrandomlists,,,,,,,,,,,,
Spirit Level,Higher dice: value -1|Lower dice: value +1,1,if(simulation){bonus(1000);}else{var a = actualdice[0].basevalue; var b = actualdice[1].basevalue; if(a > b){ givedice([a-1[;]b+1]); }else{ givedice([a+1[;]b-1]); };};,Magic Dice,MAX5|MIN2,,GREEN,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
Spirit Level_upgraded,Higher dice: value -1|Lower dice: value +1|[gray](3 uses this turn),1,if(simulation){bonus(1000);}else{var a = actualdice[0].basevalue; var b = actualdice[1].basevalue; if(a > b){ givedice([a-1[;]b+1]); }else{ givedice([a+1[;]b-1]); };};,Magic Dice,MAX5|MIN2,,GREEN,,,,,3,YES,NO,,,,,,,,,,,,,
Spirit Level_downgraded,Higher dice: value -1|Lower dice: value +1,1,if(simulation){bonus(1000);}else{var a = actualdice[0].basevalue; var b = actualdice[1].basevalue; if(a > b){ givedice([a-1[;]b+1]); }else{ givedice([a+1[;]b-1]); };};,Magic Dice,ODD|EVEN,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Tape Measure,Dice value = number of dice|you have (except this one),1,if(simulation){bonus(-500);}else{var a = 0; for (mydice in self.dicepool){ if (mydice.available()){ a+=1; } }; if(a > 0){ givedice(a); };};,Magic Dice,NORMAL,,GREEN,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
Tape Measure_upgraded,Dice value = number of dice|you have (including this one),1,if(simulation){bonus(-500);}else{var a = 1; for (mydice in self.dicepool){ if (mydice.available()){ a+=1; } }; if(a > 0){ givedice(a); };};,Magic Dice,NORMAL,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Tape Measure_downgraded,Dice value = number|of dice you have,1,if(simulation){bonus(-500);}else{var a = 0; for (mydice in self.dicepool){ if (mydice.available()){ a+=1; } }; if(a > 0){ givedice(a); };};,Magic Dice,MIN4,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Finisher,Deal [sword]<d6> damage[;] if this is|the final blow[;] heal [heal]<double>,1,attack(d); if(target.hp <1){ attackself(-d*2); sfx(~_heal~); }; sfxdamage(target[;]d);,Plasma Gun,MAX3,,RED,change_power,change_power,,,0,NO,NO,,1,,,,,,,,,,,if(target.hp <1){ attackself(-d*2); sfx(~_heal~); }; /* yes I'm doing this and it's awful I know */
Finisher_upgraded,Deal [sword]<d6> damage[;] if this is|the final blow[;] heal [heal]<triple>,1,attack(d); if(target.hp <1){ attackself(-d*3); sfx(~_heal~); }; sfxdamage(target[;]d);,Plasma Gun,MAX3,,RED,,,,,0,NO,NO,,,,,,,,,,,,,if(target.hp <1){ attackself(-d*3); sfx(~_heal~); }; /* yes I'm doing this and it's awful I know */
Finisher_downgraded,Deal [sword]<d6> damage[;] if this is|the final blow[;] heal [heal]<d6>,1,attack(d); if(target.hp <1){ attackself(-d); sfx(~_heal~); }; sfxdamage(target[;]d);,Plasma Gun,MAX3,,RED,,,,none,0,NO,NO,,,,,,,,,,,,,if(target.hp <1){ attackself(-d); sfx(~_heal~); }; /* yes I'm doing this and it's awful I know */
Deep Freeze,[lock]Lock all [ice]frozen|enemy dice,2,inflict(LOCK[;]getstatus(ICE)); removestatus(ICE[;]ALL); sfx(~_ice~); sfx(~_lock~);,Padlock,ODD,,BRIGHTCYAN,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Deep Freeze_upgraded,[lock]Lock all [ice]frozen|enemy dice,2,inflict(LOCK[;]getstatus(ICE)); removestatus(ICE[;]ALL); sfx(~_ice~); sfx(~_lock~);,Padlock,NORMAL,,BRIGHTCYAN,,,,,0,NO,NO,,,,,,,,,,,,,
Deep Freeze_downgraded,[lock]Lock up to 1 [ice]frozen|enemy dice,2,if(getstatus(ICE) > 0){ inflict(LOCK[;]1); removestatus(ICE[;]1); }; sfx(~_ice~); sfx(~_lock~);,Padlock,ODD,,BRIGHTCYAN,,,,,0,NO,NO,,,,,,,,,,,,,
Mace,Deal [sword]<d6> damage|Reduce countdowns by <d6>,2,attack(d); while(d > 6){ boostcountdowns(6); d-=6; }; boostcountdowns(d); sfxdamage(target[;]d);,Accelerate,NORMAL,,RED,change_power,change_power,,none,0,NO,NO,,,,,,,,,,,,,while(d > 6){ boostcountdowns(6); d-=6; }; boostcountdowns(d);
Mace_upgraded,Deal [sword]<d6> damage|Reduce countdowns by <d6>,2,attack(d); while(d > 6){ boostcountdowns(6); d-=6; }; boostcountdowns(d); sfxdamage(target[;]d);,Accelerate,NORMAL|FREE1,,RED,,,,none,0,NO,NO,,,,,,,,,,,,,while(d > 6){ boostcountdowns(6); d-=6; }; boostcountdowns(d);
Mace_downgraded,Deal [sword]<d6> damage,2,attack(d); sfxdamage(target[;]d);,Accelerate,NORMAL,,RED,,,,none,0,NO,NO,,,,,,,,,,,,,while(d > 6){ boostcountdowns(6); d-=6; }; boostcountdowns(d);
Nail Gun,Deal [sword]7 damage|[gray](Reusable),2,attack(7); sfxdamage(target[;]7);,Pea Gun,NORMAL|NORMAL|NORMAL,,RED,change_power,change_power,,none,-1,NO,NO,,,,,,,,,,,,,
Nail Gun_upgraded,Deal [sword]9 damage|[gray](Reusable),2,attack(9); sfxdamage(target[;]9);,Pea Gun,NORMAL|NORMAL|NORMAL,,RED,,,,none,-1,NO,NO,,,,,,,,,,,,,
Nail Gun_downgraded,Deal [sword]4 damage|[gray](Reusable),2,attack(4); sfxdamage(target[;]4);,Pea Gun,NORMAL|NORMAL|NORMAL,,RED,,,,none,-1,NO,NO,,,,,,,,,,,,,
Pike,Deal [sword]<d6> damage|,2,attack(d); sfxdamage(target[;]d);,Plasma Gun,MIN4,,RED,change_power,change_power,,none,2,NO,NO,,,,,,,,,,,,,
Pike_upgraded,Deal [sword]<d6> damage|[gray](5 uses this turn),2,attack(d); sfxdamage(target[;]d);,Plasma Gun,MIN4,,RED,,,,none,4,NO,NO,,,,,,,,,,,,,
Pike_downgraded,Deal [sword]4 damage|,2,attack(4); sfxdamage(target[;]4);,Plasma Gun,MIN4,,RED,,,,none,2,NO,NO,,,,,,,,,,,,,
Zweihander,Deal [sword]<d6> damage,2,attack(d); sfxdamage(target[;]d);,Plasma Gun,NORMAL|NORMAL,,RED,change_power,change_power,,none,0,NO,NO,,,,,,,,,,,,,
Zweihander_upgraded,Deal [sword]<d6> damage|On doubles[;] do [sword]3 more,2,if(actualdice[0].basevalue == actualdice[1].basevalue){attack(d+3); sfxdamage(d+3);}else{attack(d); sfxdamage(target[;]d);};,Plasma Gun,NORMAL|NORMAL,,RED,,,,none,0,NO,NO,,,,,,,,,,,,,
Zweihander_downgraded,Deal [sword]<d6> damage,2,attack(d); sfxdamage(target[;]d);,Plasma Gun,MAX4|MAX4,,RED,,,,none,0,NO,NO,,,,,,,,,,,,,
Halberd,Deal [sword]<d6> damage,2,attack(d); sfxdamage(target[;]d);,Plasma Gun,MAX4|MIN3,,RED,change_power,change_power,,none,0,NO,NO,,,,,,,,,,,,,
Halberd_upgraded,Deal [sword]<d6> damage,2,attack(d); sfxdamage(target[;]d);,Plasma Gun,MAX5|MIN2,,RED,,,,none,0,NO,NO,,,,,,,,,,,,,
Halberd_downgraded,Deal [sword]<d6> damage,2,attack(d); sfxdamage(target[;]d);,Plasma Gun,MAX3|MIN4,,RED,,,,none,0,NO,NO,,,,,,,,,,,,,
Swordstave,Do [sword]<d6> damage[;] inflict|status depending on dice:|1:[weaken] 2:[ice] 3:[shock] 4:[fire] 5:[poison],2,var effs = [WEAKEN[;]ICE[;]SHOCK[;]FIRE[;]POISON]; attack(d); inflict(effs[actualdice[0].basevalue-1]); var sounds=[~_weaken~[;]~_ice~[;]~_shock~[;]~_fire~[;]~_poison~]; sfx(sounds[actualdice[0].basevalue-1][;]~~[;]0.2); sfxdamage(target[;]d);,Plasma Gun,MAX5,,RED,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Swordstave_upgraded,Do [sword]<d6> damage[;] inflict|status depending on dice:|1:[weaken] 2:[ice] 3:[shock] 4:[fire] 5:[poison],2,var effs = [WEAKEN[;]ICE[;]SHOCK[;]FIRE[;]POISON]; attack(d); inflict(effs[actualdice[0].basevalue-1]); var sounds=[~_weaken~[;]~_ice~[;]~_shock~[;]~_fire~[;]~_poison~]; sfx(sounds[actualdice[0].basevalue-1][;]~~[;]0.2); sfxdamage(target[;]d);,Plasma Gun,MAX5|FREE2,,RED,,,,,0,NO,NO,,,,,,,,,,,,,
Swordstave_downgraded,Inflict a status|depending on the dice:|1:[weaken] 2:[ice] 3:[shock] 4:[fire] 5:[poison],2,var effs = [WEAKEN[;]ICE[;]SHOCK[;]FIRE[;]POISON]; inflict(effs[actualdice[0].basevalue-1]); var sounds=[~_weaken~[;]~_ice~[;]~_shock~[;]~_fire~[;]~_poison~]; sfx(sounds[actualdice[0].basevalue-1][;]~~[;]0.2);,Plasma Gun,MAX5,,RED,,,,,0,NO,NO,,,,,,,,,,,,,
Flak Cannon,[sword]2 damage[;] split dice|[gray](Reusable),2,attack(2); givedice(split(d)[;] ~splitdice~); sfxdamage(target[;]2);,Magic Dice,MIN4,,RED,change_power,change_power,,,2,NO,NO,,,,,,,,,,,,,givedice(split(d)[;] ~splitdice~); 
Flak Cannon_upgraded,[sword]2 damage[;] split dice|[gray](Reusable),2,attack(2); givedice(split(d)[;] ~splitdice~); sfxdamage(target[;]2);,Magic Dice,MIN4,,RED,,,,,3,NO,NO,,,,,,,,,,,,,givedice(split(d)[;] ~splitdice~); 
Flak Cannon_downgraded,[sword]2 damage[;] split dice,2,attack(2); givedice(split(d)[;] ~splitdice~); sfxdamage(target[;]2);,Magic Dice,MIN4,,RED,,,,,0,NO,NO,,,,,,,,,,,,,givedice(split(d)[;] ~splitdice~); 
Cable Tie,Combine dice|[gray](Reusable),1,givedice(d[;]~combinedice~);,Battle Wrench,MAX3|MAX3,,GREEN,change_power,change_power,,,-1,YES,NO,,,,,,,,,,,,,
Cable Tie_upgraded,Combine dice[;] discard excess|[gray](Reusable),1,if(d > 6){ givedice(6[;]~combinedice~); }else{ givedice(d[;]~combinedice~); };,Battle Wrench,NORMAL|NORMAL,,GREEN,,,,,-1,YES,NO,,,,,,,,,,,,,
Cable Tie_downgraded,Combine dice,1,givedice(d[;]~combinedice~);,Battle Wrench,MAX3|MAX3,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Mortice Lock,Split your other <d6>s in two|Return this dice,1,if(simulation){bonus(-1000);}else{var c = 0; var dicearray = [d]; for(mydice in self.dicepool){ if(mydice.available()){ if(mydice.basevalue == d){var s = split(d); dicearray.push(s[0]); mydice.animatereroll(s[1]|self.screenposition()|c); c+=0.05; };  }; }; givedice(dicearray);};,Meganudge,MIN2,,PINK,change_power,change_power,,,0,YES,NO,,1,,,,,,,,,,,
Mortice Lock_upgraded,Split other <d6>s[;] return dice|,1,if(simulation){bonus(-1000);}else{var c = 0; var dicearray = [d]; for(mydice in self.dicepool){ if(mydice.available()){ if(mydice.basevalue == d){var s = split(d); dicearray.push(s[0]); mydice.animatereroll(s[1]|self.screenposition()|c); c+=0.05; };  }; }; givedice(dicearray);};,Meganudge,MIN2,,PINK,,,,,2,YES,NO,,,,,,,,,,,,,
Mortice Lock_downgraded,Split your other <d6>s in two,1,if(simulation){bonus(-1000);}else{var c = 0; var dicearray = []; for(mydice in self.dicepool){ if(mydice.available()){ if(mydice.basevalue == d){var s = split(d); dicearray.push(s[0]); mydice.animatereroll(s[1]|self.screenposition()|c); c+=0.05; };  }; }; givedice(dicearray);};,Meganudge,MIN2,,PINK,,,,,0,YES,NO,,,,,,,,,,,,,
Chakram,Deal [sword]5 damage|Deal [sword]<d6> to yourself,1,attack(5); boomerang(d); sfxdamage(target[;]5);,Plasma Gun,NORMAL,,RED,change_power,change_power,,none,0,NO,NO,,,,,,,,,,,,,
Chakram_upgraded,Deal [sword]7 damage|Deal [sword]<d6> to yourself,1,attack(7); boomerang(d); sfxdamage(target[;]7);,Plasma Gun,NORMAL,,RED,,,,none,0,NO,NO,,,,,,,,,,,,,
Chakram_downgraded,Deal [sword]5 damage|Deal [sword]<d6> to yourself,1,attack(5); boomerang(d); sfxdamage(target[;]5);,Plasma Gun,MIN4,,RED,,,,none,0,NO,NO,,,,,,,,,,,,,
Tickly Nose,Get <d6> ones next turn,1,inflictself(~stash1~[;]d); sfx(~magic_gaindice~); inflictself(~tickly~[;]d);,Magic Lockpick,MAX4,,PINK,change_power,change_power,,,0,YES,NO,,1,,,,,,,,,,,
Tickly Nose_upgraded,Get <d6> ones next turn,1,inflictself(~stash1~[;]d); sfx(~magic_gaindice~); inflictself(~tickly~[;]d);,Magic Lockpick,NORMAL,,PINK,,,,,0,YES,NO,,,,,,,,,,,,,
Tickly Nose_downgraded,Get <d6> ones next turn,1,inflictself(~stash1~[;]d); sfx(~magic_gaindice~); inflictself(~tickly~[;]d);,Magic Lockpick,MAX2,,PINK,,,,,0,YES,NO,,,,,,,,,,,,,
Rend,Inflict [poison]poison equal to|the lower dice,1,var a = actualdice[0].basevalue; var b = actualdice[1].basevalue; if(a < b){ inflict(POISON[;]a); }else{ inflict(POISON[;]b); }; sfx(~_poison~);,Goop Gun,MAX5|MAX5,,PURPLE,change_power,change_power,,,0,NO,NO,,1,,,,,,,,,,,
Rend_upgraded,Inflict [poison]poison equal to|the lower dice,1,var a = actualdice[0].basevalue; var b = actualdice[1].basevalue; if(a < b){ inflict(POISON[;]a); }else{ inflict(POISON[;]b); }; sfx(~_poison~);,Goop Gun,NORMAL|NORMAL,,PURPLE,,,,,0,NO,NO,,,,,,,,,,,,,
Rend_downgraded,Inflict [poison]poison equal to|the lower dice,1,var a = actualdice[0].basevalue; var b = actualdice[1].basevalue; if(a < b){ inflict(POISON[;]a); }else{ inflict(POISON[;]b); }; sfx(~_poison~);,Goop Gun,MAX3|MAX3,,PURPLE,,,,,0,NO,NO,,,,,,,,,,,,,
Toxify,Inflict [poison]poison equal to|the difference between dice,1,var a = actualdice[0].basevalue; var b = actualdice[1].basevalue; if(a < b){ inflict(POISON[;]b-a); }else{ inflict(POISON[;]a-b); }; sfx(~_poison~);,Goop Gun,MAX5|MAX5,,PURPLE,change_power,change_power,,,0,NO,NO,,1,,,,,,,,,,,
