Name,Description,Script
Waltzer Quine Downgraded,,jinx(~Waltzer-~|~take [sword]%VAR% damage~|~Take [sword]%VAR% damage~|~attack(%VAR%); sfxdamage(null|%VAR%); var s = new elements.Skill(\~Waltzer Quine Downgraded\~); s.execute(self|target);~|target|self|4|3); 
mf_beforestart,(should not appear),var grace = getstatusself(~grace~); var diff = grace - self.hp; if(diff > 0){ pierceattackself(-diff); sfx(~_heal~); sfx(~_survive~); removestatusself(~grace~[;]diff); }; var h = 0; var totalheal = 0; for (i in 1...13) { h -= getstatus(~regen~+i); removestatus(~regen~+i[;]ALL); if(getstatus(~regen~+(i+1)) > 0){ inflict(~regen~+i[;]getstatus(~regen~+(i+1))); } }; if (h < 0) { sfx(~_heal~); attack(h); }; var h = 0; var m = 0; for (i in 1...13) { h += getstatusself(~bleed~+i); if (self.getvar(~bleed~+i) > 0) { m = i; }; removestatusself(~bleed~+i[;]ALL); if(getstatusself(~bleed~+(i+1)) > 0){ inflictself(~bleed~+i[;]getstatusself(~bleed~+(i+1))); } }; if (h > 0) { sfxdamage(self[;]h); pierceattackself(h); }; if(getstatus(~poisonovertime~) > 0){removestatus(~poisonovertime~|1); inflict(POISON); sfx(~_poison~);}; var items = self.getvar(~ratcheteditems~); var slots = self.getvar(~ratcheteditemslots~); if(items == 0){items == [];}; var x = 0; while(items.length > 0){ items.pop().changeslots(slots.pop());}; self.setvar(~ratcheteditems~[;][]); self.setvar(~ratcheteditemslots~[;][]); if(getstatusself(~mf_skipturn~) > 0){removestatusself(~mf_skipturn~|1); self.endturnnow();}else{if(getstatusself(~mf_bonusturn~) > 0){inflictself(EXTRATURN|getstatusself(~mf_bonusturn~));  sfx(~_fury~);}; removestatusself(~mf_bonusturn~|1);}; if(self.getvar(~mf_cursedecay~) == 1 && getstatusself(~mf_cursecarryover~) > 0){inflictself(CURSE|getstatusself(~mf_cursecarryover~)); removestatusself(~mf_cursecarryover~|ALL);}; if(getstatusself(~mf_healnextturn~) > 0){attackself(-getstatusself(~mf_healnextturn~)); sfx(~_heal~); removestatusself(~mf_healnextturn~|ALL);};  if(getstatusself(~alternate_mf_magma~) > 0){attackself(getstatusself(~alternate_mf_magma~)*2|FIRE); removestatusself(~alternate_mf_magma~|(getstatusself(~alternate_mf_magma~)+1)/2); sfx(~_fire~);}else if(getstatusself(~mf_magma~) > 0){attackself(getstatusself(~mf_magma~)|FIRE); sfx(~_fire~);}; if(getstatusself(~alternate_mf_shiver~) > 0){attackself(getstatusself(~alternate_mf_shiver~)*2|ICE); removestatusself(~alternate_mf_shiver~|(getstatusself(~alternate_mf_shiver~)+1)/2); sfx(~_ice~);}else if(getstatusself(~mf_shiver~) > 0){attackself(getstatusself(~mf_shiver~)|ICE); sfx(~_ice~);};
mf_startturn,(should not appear),
mf_endturn,(should not appear),var grace = getstatus(~grace~); var diff = grace - target.hp; if(diff > 0){ pierceattack(-diff); sfx(~_heal~); sfx(~_survive~); removestatus(~grace~[;]diff); }; var h = 0; var totalheal = 0; for (i in 1...13) { h -= getstatusself(~regen~+i); removestatusself(~regen~+i[;]ALL); if(getstatusself(~regen~+(i+1)) > 0){ inflictself(~regen~+i[;]getstatusself(~regen~+(i+1))); } }; if (h < 0) { sfx(~_heal~); attackself(h); }; var h = 0; var m = 0; for (i in 1...13) { h += getstatus(~bleed~+i); if (self.getvar(~bleed~+i) > 0) { m = i; }; removestatus(~bleed~+i[;]ALL); if(getstatus(~bleed~+(i+1)) > 0){ inflict(~bleed~+i[;]getstatus(~bleed~+(i+1))); } }; if (h > 0) { sfxdamage(target[;]h); pierceattack(h); }; if(getstatusself(~poisonovertime~) > 0){removestatusself(~poisonovertime~|1); inflictself(POISON); sfx(~_poison~);}; var items = self.getvar(~ratcheteditems~); var slots = self.getvar(~ratcheteditemslots~); var x = 0; while(items.length > 0){ items.pop().changeslots(slots.pop());}; self.setvar(~ratcheteditems~[;][]); self.setvar(~ratcheteditemslots~[;][]); if(self.getvar(~mf_cursedecay~) == 1){inflictself(~mf_cursecarryover~|getstatusself(CURSE));}; if(getstatus(~alternate_mf_magma~) > 0){attack(getstatus(~alternate_mf_magma~)*2|FIRE); removestatus(~alternate_mf_magma~|(getstatus(~alternate_mf_magma~)+1)/2); sfx(~_fire~);}else if(getstatus(~mf_magma~) > 0){attack(getstatus(~mf_magma~)|FIRE); sfx(~_fire~);}; if(getstatus(~alternate_mf_shiver~) > 0){attack(getstatus(~alternate_mf_shiver~)*2|ICE); removestatus(~alternate_mf_shiver~|(getstatus(~alternate_mf_shiver~)+1)/2);  sfx(~_ice~);}else if(getstatus(~mf_shiver~) > 0){attack(getstatus(~mf_shiver~)|ICE); sfx(~_ice~);};
mf_aftercombat,(should not appear),if(self.getvar(~healaftercombat~) > 0){attackself(-1*self.getvar(~healaftercombat~)); sfx(~_heal~);}; self.setvar(~healaftercombat~|0); self.setvar(~mf_cursedecay~|0);
mf_flee,(should not appear),
Lead Script,(should not appear),var boundary = 240; var size = 240; function checkslots(val|eq){  var sl = eq.getslots(); var s = sl[0]; if(s == ~NORMAL~){return true;}; if(s == ~EVEN~ && val %2 == 0){ return true; }; if(s == ~ODD~ && val %2 == 1){ return true; }; if(s == ~REQUIRE~+val){ return true; }; for(x in 1...val+1){ if(s == ~MIN~+x){ return true; }; }; for(x in val...7){ if(s == ~MAX~+x){ return true; }; }; var ranges = [[2[;]3][;][2[;]4][;][2[;]5][;][3[;]4][;][3[;]5][;][4[;]5]]; for(r in ranges){ if(s == ~RANGE~+r[0]+r[1] && val >= r[0] && val <= r[1]){ return true; } }; return false; };  function abs(x){if(x < 0){return -x;}; return x;}; function sign(x){return(x/abs(x));}; var gooddice = self.getvar(~chosendice~); var mdx = gooddice.x; var mdy = gooddice.y; for(mydice in self.dicepool){if(mydice.available() && mydice != self.getvar(~chosendice~)){mydice.animate(~lock~);}; if(mydice.locked){var deseq = null; for(eq in self.equipment){ if(eq.assigneddice.indexOf(null) != -1 && mydice.x > eq.x && mydice.x+size < (eq.x+eq.width) && mydice.y > eq.y && mydice.y+size < (eq.y + eq.height)){deseq = eq;}}; if(deseq!= null){if(checkslots(mydice.basevalue|deseq)){mydice.locked=false; deseq.assigndice(mydice); deseq.doequipmentaction(self|target|deseq.castdirection == 1 ? 1:0|deseq.assigneddice|0|false); };}; var mx = mydice.x; var my = mydice.y; var dx = mx-mdx; var dy = my-mdy; if((dx > -boundary && dx < boundary) && (dy > -boundary && dy < boundary)){ gooddice.basevalue = 6; mydice.hasmotion = true;  var totalforce = (boundary*boundary)/(dx*dx + dy*dy) * 0.05; mydice.ax = totalforce * dx; mydice.ay = totalforce * dy;}else{gooddice.basevalue = 1;}; };};
Spellbook Bash,(should not appear),var eqfire = self.getvar(~uddy~)[self.getvar(~uddy_count~)]; eqfire.animate(~flashandshake~); eqfire.reuseable = 0; eqfire.usesleft = 1; eqfire.doequipmentaction(self|target|(self.isplayer ? 1 : -1) |[]|0|true); sfx(~_thinghappens~); self.setvar(~uddy_count~|self.getvar(~uddy_count~)+1); if(self.getvar(~uddycount~) > 6){self.setvar(~uddy~|null);};
Yeeteor Cleanup,(should not appear),self.setvar(~uddy~|null);
mf_blankskill,(should not appear),
